,Rooms,Type,Method,Distance,Bathroom,Car,Landsize,BuildingArea,RegionName,PropertyCount,Price,Age
69,3,h,S,13.5,1,1,580,114,Western Metropolitan,3464,,59
70,2,h,S,13.5,1,1,272,84,Western Metropolitan,3464,603000,69
71,3,t,S,13.5,2,2,239,134,Western Metropolitan,3464,700000,10
72,3,h,S,13.5,1,1,290,116,Western Metropolitan,3464,600000,39
73,2,u,VB,13.5,1,1,168,86,Western Metropolitan,3464,500000,8
74,2,t,VB,13.5,,,,,Western Metropolitan,3464,420000,
75,3,t,VB,13.5,,,,,Western Metropolitan,3464,500000,
76,5,h,S,13.5,,,,,Western Metropolitan,3464,1035000,
77,4,h,S,13.5,,,,,Western Metropolitan,3464,960000,
78,4,h,S,13.5,,,,,Western Metropolitan,3464,960000,
79,3,h,S,13.5,1,1,620,,Western Metropolitan,3464,720000,
80,4,h,S,13.5,1,2,597,127,Western Metropolitan,3464,785000,
81,6,h,SP,13.5,3,2,976,186,Western Metropolitan,3464,725000,39
82,2,t,S,13.5,1,1,110,90,Western Metropolitan,3464,450000,4
83,2,u,S,13.5,1,1,141,73,Western Metropolitan,3464,515000,6
84,3,h,VB,13.5,,,,,Western Metropolitan,3464,680000,
85,2,u,S,13.5,1,1,120,94,Western Metropolitan,3464,530000,7
86,3,h,PI,13.5,1,6,1063,133,Western Metropolitan,3464,895000,44
87,3,u,VB,13.5,,,,,Western Metropolitan,3464,600000,
88,3,h,S,13.5,1,1,0,105,Western Metropolitan,3464,805000,69
89,3,t,PI,13.5,,,,,Western Metropolitan,3464,760000,
90,3,u,S,13.5,1,1,265,130,Western Metropolitan,3464,752000,26
91,3,u,VB,13.5,,,,,Western Metropolitan,3464,580000,
92,3,h,PI,13.5,,,,,Western Metropolitan,3464,725000,
93,4,h,S,13.5,,,,,Western Metropolitan,3464,758000,
94,2,u,S,13.5,1,1,192,,Western Metropolitan,3464,440000,
95,3,h,S,13.5,,,,,Western Metropolitan,3464,970000,
96,5,h,PI,13.5,2,2,596,,Western Metropolitan,3464,755000,
97,4,h,S,13.5,,,,,Western Metropolitan,3464,985000,
98,3,t,PI,13.5,2,2,165,133,Western Metropolitan,3464,700000,10
99,2,u,SP,13.5,,,,,Western Metropolitan,3464,509500,
100,3,h,S,13.5,1,2,971,113,Western Metropolitan,3464,830000,59
101,2,u,S,13.5,1,1,164,,Western Metropolitan,3464,462500,16
102,3,h,SP,13.5,2,2,657,,Western Metropolitan,3464,670000,
103,2,h,S,13.5,1,1,612,100,Western Metropolitan,3464,675000,44
104,3,h,S,13.5,2,5,612,174,Western Metropolitan,3464,1042000,69
105,3,h,S,13.5,1,1,775,,Western Metropolitan,3464,910000,
106,4,h,S,13.5,3,4,531,309,Western Metropolitan,3464,773000,39
107,3,h,S,13.5,,,,,Western Metropolitan,3464,715000,
108,3,h,PI,13.5,3,2,555,192,Western Metropolitan,3464,810000,39
109,3,h,S,13.5,2,2,422,126,Western Metropolitan,3464,715000,24
110,3,h,S,13.5,1,3,614,,Western Metropolitan,3464,790000,
111,2,t,VB,13.5,,,,,Western Metropolitan,3464,460000,
112,3,t,SP,13.5,2,1,161,101,Western Metropolitan,3464,540000,9
113,3,t,SP,13.5,2,1,293,102,Western Metropolitan,3464,825000,59
114,3,h,S,13.5,1,1,579,113,Western Metropolitan,3464,685000,44
115,3,u,S,13.5,,,,,Western Metropolitan,3464,445000,
116,3,h,S,13.5,1,1,623,,Western Metropolitan,3464,805000,
117,2,u,S,13.5,1,1,141,76,Western Metropolitan,3464,510000,
118,3,h,S,13.5,2,1,212,,Western Metropolitan,3464,612000,
119,3,h,S,13.5,1,2,612,,Western Metropolitan,3464,662000,
120,4,h,S,13.5,3,2,532,,Western Metropolitan,3464,978000,
121,3,u,VB,13.5,,,,,Western Metropolitan,3464,,
122,3,h,PI,13.5,1,1,585,,Western Metropolitan,3464,720000,
123,2,u,PI,13.5,,,,,Western Metropolitan,3464,474000,
124,2,t,SP,13.5,,,,,Western Metropolitan,3464,490000,
125,3,h,S,13.5,,,,,Western Metropolitan,3464,405000,
126,3,t,S,13.5,,,,,Western Metropolitan,3464,715000,
127,3,u,S,13.5,,,,,Western Metropolitan,3464,671500,
128,4,h,S,13.5,1,2,509,,Western Metropolitan,3464,765000,
129,4,h,S,13.5,2,3,628,146,Western Metropolitan,3464,900000,44
130,3,u,S,13.5,,,,,Western Metropolitan,3464,820000,
131,3,u,PI,13.5,,,,,Western Metropolitan,3464,650000,
132,3,t,SP,13.5,,,,,Western Metropolitan,3464,552000,
133,2,h,S,3.3,1,0,120,82,Southern Metropolitan,3280,1275000,119
134,2,h,S,3.3,1,0,159,,Southern Metropolitan,3280,1455000,
135,3,h,PI,3.3,2,0,211,198,Southern Metropolitan,3280,2850000,129
136,3,h,S,3.3,2,0,128,133,Southern Metropolitan,3280,1850000,129
137,2,h,SP,3.3,1,0,215,,Southern Metropolitan,3280,,119
138,2,h,S,3.3,1,0,130,81,Southern Metropolitan,3280,1436000,119
139,3,h,SN,3.3,2,1,336,145,Southern Metropolitan,3280,,129
140,2,h,S,3.3,1,0,147,,Southern Metropolitan,3280,1110000,119
141,2,h,S,3.3,1,1,167,,Southern Metropolitan,3280,1550000,
142,4,h,S,3.3,2,1,153,180,Southern Metropolitan,3280,2300000,139
143,3,h,S,3.3,1,2,316,125,Southern Metropolitan,3280,,139
144,3,t,VB,3.3,2,2,718,,Southern Metropolitan,3280,1550000,
145,3,h,VB,3.3,2,1,132,159,Southern Metropolitan,3280,1800000,23
146,3,h,S,3.3,,,,,Southern Metropolitan,3280,2485000,
147,2,h,S,3.3,1,1,199,107,Southern Metropolitan,3280,2120000,119
148,3,h,VB,3.3,1,1,253,,Southern Metropolitan,3280,1800000,
149,3,h,S,3.3,2,1,90,122,Southern Metropolitan,3280,1800000,119
150,3,h,SN,3.3,1,0,126,88,Southern Metropolitan,3280,,109
151,2,h,PI,3.3,1,0,240,,Southern Metropolitan,3280,1810000,
152,3,h,S,3.3,2,1,177,181,Southern Metropolitan,3280,2615000,139
153,5,h,S,3.3,2,1,237,,Southern Metropolitan,3280,2100000,
154,3,h,S,3.3,1,0,129,,Southern Metropolitan,3280,1300000,
155,3,h,S,3.3,2,2,0,85,Southern Metropolitan,3280,1370000,19
156,2,h,S,3.3,1,0,288,,Southern Metropolitan,3280,1000000,
157,2,h,SP,3.3,1,2,366,117,Southern Metropolitan,3280,,119
158,3,h,S,3.3,2,1,228,,Southern Metropolitan,3280,2575000,
159,2,h,S,3.3,1,0,149,98,Southern Metropolitan,3280,1322500,129
160,2,h,S,3.3,1,1,152,,Southern Metropolitan,3280,,
161,2,h,S,3.3,1,0,141,83,Southern Metropolitan,3280,1562500,129
162,3,h,VB,3.3,2,1,211,147,Southern Metropolitan,3280,2000000,119
163,4,h,S,3.3,1,0,236,,Southern Metropolitan,3280,,
164,3,h,S,3.3,1,2,300,,Southern Metropolitan,3280,,
165,3,h,S,3.3,1,0,209,,Southern Metropolitan,3280,1900000,119
166,3,h,S,3.3,2,0,147,146,Southern Metropolitan,3280,3010000,129
167,3,h,SP,3.3,1,0,173,,Southern Metropolitan,3280,,
168,4,h,VB,3.3,3,1,327,254,Southern Metropolitan,3280,2800000,109
169,3,h,SN,3.3,1,0,169,,Southern Metropolitan,3280,,
170,2,u,S,3.3,1,1,0,,Southern Metropolitan,3280,647000,
171,3,h,SP,3.3,2,1,122,,Southern Metropolitan,3280,,
172,3,h,SP,3.3,1,1,120,123,Southern Metropolitan,3280,2100000,119
173,3,h,S,3.3,2,1,241,119,Southern Metropolitan,3280,,29
174,2,h,PI,3.3,2,1,225,,Southern Metropolitan,3280,,
175,7,h,SN,3.3,7,0,435,,Southern Metropolitan,3280,,
176,3,h,PI,3.3,1,1,238,131,Southern Metropolitan,3280,2000000,129
177,1,u,S,3.3,1,0,0,34,Southern Metropolitan,3280,442500,49
178,4,h,S,3.3,2,1,330,207,Southern Metropolitan,3280,4735000,109
179,2,h,S,3.3,1,0,136,,Southern Metropolitan,3280,1340000,
180,3,h,S,3.3,1,1,202,,Southern Metropolitan,3280,1801000,
181,3,h,S,3.3,3,1,0,,Southern Metropolitan,3280,1532000,
182,3,h,S,3.3,2,2,325,,Southern Metropolitan,3280,3755000,
183,4,h,S,3.3,2,1,183,145,Southern Metropolitan,3280,2140000,139
184,2,u,PI,3.3,,,,,Southern Metropolitan,3280,1810000,
185,2,h,S,3.3,1,1,162,,Southern Metropolitan,3280,1750000,
186,2,h,S,3.3,1,0,79,68,Southern Metropolitan,3280,980000,129
187,2,h,SP,3.3,1,0,99,65,Southern Metropolitan,3280,,119
188,4,h,SP,3.3,2,0,230,185,Southern Metropolitan,3280,,119
189,3,h,SN,3.3,2,1,141,,Southern Metropolitan,3280,,
190,3,h,S,3.3,2,0,152,,Southern Metropolitan,3280,2030000,
191,3,h,PI,3.3,2,2,147,134,Southern Metropolitan,3280,1740000,129
192,3,h,VB,3.3,3,1,0,,Southern Metropolitan,3280,2800000,
193,1,h,S,3.3,1,0,81,54,Southern Metropolitan,3280,985000,119
194,3,h,SN,6.4,2,1,174,122,Northern Metropolitan,2211,,16
195,4,h,S,6.4,2,4,853,263,Northern Metropolitan,2211,2000000,89
196,3,h,S,6.4,2,2,208,,Northern Metropolitan,2211,1110000,6
197,3,h,S,6.4,2,2,411,,Northern Metropolitan,2211,1492000,
198,2,u,PI,6.4,,,,,Northern Metropolitan,2211,480000,
199,3,h,S,6.4,1,3,922,,Northern Metropolitan,2211,,
200,3,t,SP,6.4,,,,,Northern Metropolitan,2211,1304000,
201,4,h,S,6.4,2,1,599,203,Northern Metropolitan,2211,1717500,94
202,5,h,S,6.4,4,4,809,165,Northern Metropolitan,2211,2840000,109
203,5,h,S,6.4,3,4,743,,Northern Metropolitan,2211,,104
204,2,u,S,6.4,1,1,88,60,Northern Metropolitan,2211,525500,59
205,2,t,S,6.4,2,3,155,140,Northern Metropolitan,2211,805000,15
206,2,u,S,6.4,1,1,0,,Northern Metropolitan,2211,465000,
207,4,t,PN,6.4,,,,,Northern Metropolitan,2211,,
208,3,h,S,6.4,,,,,Northern Metropolitan,2211,1480000,
209,3,h,PI,6.4,3,2,686,,Northern Metropolitan,2211,2000000,
210,3,h,S,6.4,1,2,592,,Northern Metropolitan,2211,1540000,
211,4,h,S,6.4,,,,,Northern Metropolitan,2211,,
212,2,u,PI,6.4,,,,,Northern Metropolitan,2211,590000,
213,2,u,S,6.4,1,1,183,,Northern Metropolitan,2211,820000,
214,4,h,S,6.4,2,2,606,112,Northern Metropolitan,2211,1830000,49
215,4,h,S,6.4,2,2,575,271,Northern Metropolitan,2211,2100000,11
216,3,h,SP,6.4,1,1,180,131,Northern Metropolitan,2211,865000,9
217,2,u,VB,6.4,1,1,0,60,Northern Metropolitan,2211,390000,59
218,2,t,SP,6.4,1,0,0,,Northern Metropolitan,2211,650000,
219,2,u,S,6.4,1,1,0,61,Northern Metropolitan,2211,512000,54
220,3,h,S,6.4,,,,,Northern Metropolitan,2211,1361000,
221,4,h,SP,6.4,2,2,597,,Northern Metropolitan,2211,,
222,3,h,S,6.4,,,,,Northern Metropolitan,2211,1310000,
223,3,h,VB,6.4,,,,,Northern Metropolitan,2211,570000,
224,3,h,S,6.4,1,2,979,,Northern Metropolitan,2211,1165000,
225,2,u,S,6.4,,,,,Northern Metropolitan,2211,530000,
226,4,h,SP,6.4,2,2,556,272,Northern Metropolitan,2211,1900000,89
227,5,h,SN,6.4,2,2,552,211,Northern Metropolitan,2211,,103
228,3,h,SP,6.4,0,0,597,,Northern Metropolitan,2211,1485000,
229,4,h,S,6.4,2,3,589,210,Northern Metropolitan,2211,1950000,99
230,3,h,VB,13.8,2,1,352,242,Western Metropolitan,5301,520000,4
231,5,h,S,13.8,3,3,729,268,Western Metropolitan,5301,1525000,14
232,2,t,S,13.8,1,2,292,125,Western Metropolitan,5301,720000,6
233,3,h,S,13.8,1,2,506,120,Western Metropolitan,5301,1120000,89
234,4,h,PI,13.8,1,4,655,,Western Metropolitan,5301,780000,
235,4,h,SP,13.8,3,6,1057,220,Western Metropolitan,5301,1780000,57
236,3,u,S,13.8,1,2,311,94,Western Metropolitan,5301,630000,64
237,2,u,SP,13.8,1,1,65,,Western Metropolitan,5301,406000,
238,3,h,VB,13.8,1,1,602,123,Western Metropolitan,5301,660000,64
239,3,h,S,13.8,1,1,530,,Western Metropolitan,5301,683500,
240,2,u,VB,13.8,,,,,Western Metropolitan,5301,540000,
241,2,u,S,13.8,1,1,225,93,Western Metropolitan,5301,580000,31
242,3,h,S,13.8,1,4,777,22,Western Metropolitan,5301,1335000,66
243,3,t,SP,13.8,2,2,280,,Western Metropolitan,5301,800000,22
244,2,u,S,13.8,1,1,127,76,Western Metropolitan,5301,510000,29
245,4,h,S,13.8,2,2,695,,Western Metropolitan,5301,1070000,
246,2,u,S,13.8,1,2,115,57,Western Metropolitan,5301,425000,39
247,3,u,S,13.8,2,2,230,,Western Metropolitan,5301,605000,
248,3,t,S,13.8,2,2,197,152,Western Metropolitan,5301,705000,
249,2,u,SP,13.8,1,1,0,65,Western Metropolitan,5301,391000,54
250,2,u,SP,13.8,1,1,0,,Western Metropolitan,5301,440000,
251,4,h,S,13.8,1,2,745,130,Western Metropolitan,5301,845000,69
252,3,h,S,13.8,,,,,Western Metropolitan,5301,766000,
253,3,t,SP,13.8,2,2,211,176,Western Metropolitan,5301,743000,
254,3,t,SP,13.8,,,,,Western Metropolitan,5301,650000,
255,3,u,SP,13.8,2,1,69,141,Western Metropolitan,5301,730000,5
256,3,t,S,13.8,,,,,Western Metropolitan,5301,916500,
257,3,h,S,13.8,1,4,625,,Western Metropolitan,5301,635000,59
258,2,u,SP,13.8,1,1,168,,Western Metropolitan,5301,620000,
259,2,u,S,13.8,1,1,137,77,Western Metropolitan,5301,447000,29
260,3,u,SP,13.8,2,1,70,,Western Metropolitan,5301,730000,
261,3,h,S,13.8,1,2,606,87,Western Metropolitan,5301,678000,69
262,2,u,PI,13.8,2,1,175,76,Western Metropolitan,5301,580000,6
263,3,h,S,13.8,1,2,363,,Western Metropolitan,5301,712000,
264,3,h,SP,13.8,2,2,534,136,Western Metropolitan,5301,840000,54
265,3,h,S,13.8,1,2,724,,Western Metropolitan,5301,980000,
266,4,h,S,13.8,,,,,Western Metropolitan,5301,1000000,
267,3,t,S,13.8,2,0,265,,Western Metropolitan,5301,605100,
268,3,h,PI,13.8,3,1,577,,Western Metropolitan,5301,880000,
269,3,u,S,13.8,2,1,205,113,Western Metropolitan,5301,577000,12
270,4,h,SN,13.8,2,3,504,,Western Metropolitan,5301,,
271,4,h,S,13.8,1,0,797,,Western Metropolitan,5301,1030000,
272,3,u,S,13.8,1,2,181,,Western Metropolitan,5301,605000,
273,3,h,S,13.8,,,,,Western Metropolitan,5301,685000,
274,2,u,PI,13.8,1,1,117,58,Western Metropolitan,5301,,39
275,3,h,S,13.8,2,2,529,,Western Metropolitan,5301,753000,
276,2,h,SP,13.8,2,1,675,100,Western Metropolitan,5301,857000,69
277,3,h,S,13.8,1,1,929,,Western Metropolitan,5301,1500000,
278,3,u,SP,13.8,2,1,70,3,Western Metropolitan,5301,730000,5
279,3,h,S,13.8,1,4,697,,Western Metropolitan,5301,900000,
280,3,h,S,13.8,1,2,604,,Western Metropolitan,5301,740000,
281,4,h,S,13.8,2,3,532,,Western Metropolitan,5301,931000,49
282,2,h,SP,13.8,1,1,154,91,Western Metropolitan,5301,535600,23
283,3,h,SP,11.1,1,1,620,108,Western Metropolitan,5132,,69
284,5,h,S,11.1,3,6,592,251,Western Metropolitan,5132,1085000,54
285,3,h,S,11.1,1,2,533,117,Western Metropolitan,5132,781000,49
286,4,h,S,11.1,,,,,Western Metropolitan,5132,857500,
287,4,h,S,11.1,,,,,Western Metropolitan,5132,960000,
288,3,h,SP,11.1,1,3,554,,Western Metropolitan,5132,750000,
289,2,t,S,11.1,1,1,77,77,Western Metropolitan,5132,421000,10
290,3,h,S,11.1,1,3,655,,Western Metropolitan,5132,1405000,
291,2,h,S,11.1,,,,,Western Metropolitan,5132,,
292,3,h,S,11.1,1,2,534,167,Western Metropolitan,5132,683000,52
293,3,h,SN,11.1,,,,,Western Metropolitan,5132,,
294,3,h,S,11.1,1,3,540,,Western Metropolitan,5132,623000,
295,3,h,VB,11.1,2,1,0,130,Western Metropolitan,5132,720000,7
296,4,t,S,11.1,,,,,Western Metropolitan,5132,780000,
297,3,u,S,11.1,,,,,Western Metropolitan,5132,720000,
298,3,h,SP,11.1,,,,,Western Metropolitan,5132,705000,
299,3,h,S,11.1,1,1,328,118,Western Metropolitan,5132,588000,49
300,4,h,VB,11.1,,,,,Western Metropolitan,5132,720000,
301,3,h,PI,11.1,1,3,540,116,Western Metropolitan,5132,710000,59
302,2,h,SP,11.1,,,,,Western Metropolitan,5132,550000,
303,3,u,VB,11.1,,,,,Western Metropolitan,5132,640000,
304,3,h,SP,11.1,,,,,Western Metropolitan,5132,537500,
305,4,t,PN,11.1,,,,,Western Metropolitan,5132,,
306,4,h,SP,11.1,1,4,559,169,Western Metropolitan,5132,875000,54
307,3,h,S,11.1,,,,,Western Metropolitan,5132,800000,
308,3,t,S,11.1,,,,,Western Metropolitan,5132,713500,
309,4,h,PN,11.1,2,5,537,196,Western Metropolitan,5132,,59
310,3,h,VB,11.1,1,3,554,,Western Metropolitan,5132,700000,
311,2,h,SP,11.1,,,,,Western Metropolitan,5132,551000,
312,3,h,SP,11.1,,,,,Western Metropolitan,5132,685000,
313,2,t,S,11.1,1,1,252,,Western Metropolitan,5132,640000,54
314,4,h,SP,11.1,1,4,558,,Western Metropolitan,5132,650000,
315,3,h,SP,11.1,,,,,Western Metropolitan,5132,925000,
316,3,h,PI,11.1,,,,,Western Metropolitan,5132,,
317,2,h,PI,11.1,,,,,Western Metropolitan,5132,,
318,3,t,VB,11.1,,,,,Western Metropolitan,5132,670000,
319,3,h,SP,11.1,,,,,Western Metropolitan,5132,680000,
320,3,h,S,11.1,,,,,Western Metropolitan,5132,765000,
321,3,h,S,11.1,2,2,171,109,Western Metropolitan,5132,675000,7
322,3,h,S,11.1,1,2,585,97,Western Metropolitan,5132,708000,59
323,3,t,SP,11.1,,,,,Western Metropolitan,5132,656000,
324,4,h,S,11.1,,,,,Western Metropolitan,5132,883000,
325,4,h,SP,11.1,1,4,851,,Western Metropolitan,5132,965000,
326,3,h,S,11.1,,,,,Western Metropolitan,5132,870000,
327,3,h,PI,11.1,,,,,Western Metropolitan,5132,681000,
328,2,h,SA,11.1,,,,,Western Metropolitan,5132,522500,
329,5,h,S,11.1,,,,,Western Metropolitan,5132,972000,
330,3,t,PI,11.1,,,,,Western Metropolitan,5132,590000,
331,2,h,PI,11.1,,,,,Western Metropolitan,5132,450000,
332,3,h,S,11.1,,,,,Western Metropolitan,5132,765000,
333,3,h,VB,11.1,,,,,Western Metropolitan,5132,750000,
334,3,h,S,11.1,1,3,551,,Western Metropolitan,5132,680000,
335,1,u,PI,11.1,1,1,0,46,Western Metropolitan,5132,,49
336,2,t,SP,11.1,,,,,Western Metropolitan,5132,510000,
337,3,h,SP,11.1,1,3,602,603,Western Metropolitan,5132,770000,
338,3,h,S,11.1,1,2,740,,Western Metropolitan,5132,923000,
339,4,h,SP,11.1,2,4,315,170,Western Metropolitan,5132,693000,11
340,3,h,SP,11.1,2,2,276,100,Western Metropolitan,5132,620000,9
341,3,h,S,11.1,,,,,Western Metropolitan,5132,800000,
342,3,h,S,11.1,1,1,531,157,Western Metropolitan,5132,728500,59
343,3,h,S,11.1,2,1,590,160,Western Metropolitan,5132,931000,69
344,3,h,S,11.1,1,4,715,,Western Metropolitan,5132,988000,11
345,3,h,SP,11.1,,,,,Western Metropolitan,5132,590000,
346,3,h,S,11.1,1,2,561,,Western Metropolitan,5132,590000,
347,2,h,S,11.1,1,2,691,,Western Metropolitan,5132,610000,
348,2,h,PI,11.1,,,,,Western Metropolitan,5132,,
349,3,h,S,11.1,2,3,555,130,Western Metropolitan,5132,815000,59
350,4,h,S,11.1,1,2,708,,Western Metropolitan,5132,970000,
351,4,h,S,11.1,,,,,Western Metropolitan,5132,840000,
352,3,h,S,11.1,,,,,Western Metropolitan,5132,840000,
353,4,h,S,11.1,1,3,668,,Western Metropolitan,5132,760000,
354,3,h,S,11.1,,,,,Western Metropolitan,5132,852500,
355,4,t,S,11.1,3,1,252,,Western Metropolitan,5132,847500,
356,4,h,SP,11.1,1,4,633,158,Western Metropolitan,5132,1200000,59
357,3,h,S,11.1,,,,,Western Metropolitan,5132,630000,
358,3,h,PI,11.1,,,,,Western Metropolitan,5132,,
359,3,h,SP,11.1,1,1,557,,Western Metropolitan,5132,700000,
360,3,h,PI,11.1,1,1,536,,Western Metropolitan,5132,625000,
361,2,u,S,11.1,1,1,153,70,Western Metropolitan,5132,292000,49
362,3,t,PI,11.1,,,,,Western Metropolitan,5132,640000,
363,3,h,SP,11.1,,,,,Western Metropolitan,5132,800000,
364,3,h,S,6.3,1,1,305,,Southern Metropolitan,4836,,
365,2,u,S,6.3,1,1,0,76,Southern Metropolitan,4836,599000,55
366,2,u,VB,6.3,1,0,861,,Southern Metropolitan,4836,550000,
367,3,u,S,6.3,2,2,0,100,Southern Metropolitan,4836,995000,21
368,3,t,S,6.3,2,2,101,105,Southern Metropolitan,4836,1205000,19
369,3,h,S,6.3,2,2,588,168,Southern Metropolitan,4836,,89
370,3,h,S,6.3,,,,,Southern Metropolitan,4836,2675000,
371,3,h,S,6.3,2,2,296,150,Southern Metropolitan,4836,1939000,130
372,1,u,S,6.3,1,0,0,,Southern Metropolitan,4836,421500,
373,2,u,SP,6.3,,,,,Southern Metropolitan,4836,585000,
374,3,h,S,6.3,,,,,Southern Metropolitan,4836,2050000,
375,3,h,S,6.3,1,1,217,116,Southern Metropolitan,4836,1870000,131
376,4,h,SN,6.3,2,1,211,,Southern Metropolitan,4836,,
377,2,u,S,6.3,1,2,0,,Southern Metropolitan,4836,678000,
378,2,h,PI,6.3,1,1,183,,Southern Metropolitan,4836,,
379,3,h,S,6.3,,,,,Southern Metropolitan,4836,,
380,3,t,SP,6.3,2,2,0,165,Southern Metropolitan,4836,1918000,24
381,1,u,SP,6.3,1,0,881,,Southern Metropolitan,4836,,
382,2,u,SP,6.3,1,1,0,,Southern Metropolitan,4836,660000,
383,3,h,S,6.3,2,1,205,116,Southern Metropolitan,4836,2050000,109
384,4,h,S,6.3,,,,,Southern Metropolitan,4836,,
385,2,u,SP,6.3,1,1,0,65,Southern Metropolitan,4836,,49
386,2,u,VB,6.3,1,2,0,,Southern Metropolitan,4836,700000,
